source_text,target_text,source_lang,target_lang
Hello,नमस्ते,en,hi
Good morning,सुप्रभात,en,hi
Good night,शुभ रात्रि,en,hi
Thank you,धन्यवाद,en,hi
How are you,आप कैसे हैं,en,hi
I am fine,मैं ठीक हूँ,en,hi
What is your name,आपका नाम क्या है,en,hi
My name is John,मेरा नाम जॉन है,en,hi
Where do you live,आप कहाँ रहते हैं,en,hi
I live in Delhi,मैं दिल्ली में रहता हूँ,en,hi
How much does this cost,इसकी कीमत कितनी है,en,hi
Please help me,कृपया मेरी मदद करें,en,hi
I don't understand,मैं समझ नहीं पाया,en,hi
Can you speak English,क्या आप अंग्रेजी बोल सकते हैं,en,hi
I am hungry,मुझे भूख लगी है,en,hi
The food is delicious,खाना बहुत स्वादिष्ट है,en,hi
I want to travel,मैं यात्रा करना चाहता हूँ,en,hi
This is beautiful,यह बहुत सुंदर है,en,hi
It is raining,बारिश हो रही है,en,hi
The weather is nice,मौसम अच्छा है,en,hi
I love India,मुझे भारत से प्यार है,en,hi
Please call a doctor,कृपया डॉक्टर को बुलाएं,en,hi
I need water,मुझे पानी चाहिए,en,hi
Where is the hospital,अस्पताल कहाँ है,en,hi
I am learning Hindi,मैं हिंदी सीख रहा हूँ,en,hi
The train is late,ट्रेन देर से है,en,hi
What time is it,अभी क्या समय हुआ है,en,hi
It is five o clock,अभी पाँच बजे हैं,en,hi
I want to buy a ticket,मुझे एक टिकट खरीदनी है,en,hi
Can you help me,क्या आप मेरी मदद कर सकते हैं,en,hi
The book is on the table,किताब मेज पर है,en,hi
I am reading a book,मैं एक किताब पढ़ रहा हूँ,en,hi
She is a teacher,वह एक शिक्षिका हैं,en,hi
He is a doctor,वह एक डॉक्टर हैं,en,hi
The children are playing,बच्चे खेल रहे हैं,en,hi
We are going to the market,हम बाजार जा रहे हैं,en,hi
I like to eat mangoes,मुझे आम खाना पसंद है,en,hi
The sun rises in the east,सूरज पूरब में उगता है,en,hi
India is a great country,भारत एक महान देश है,en,hi
The Ganges is a holy river,गंगा एक पवित्र नदी है,en,hi
Please open the window,कृपया खिड़की खोलें,en,hi
Close the door,दरवाज़ा बंद करो,en,hi
Sit down please,कृपया बैठ जाइए,en,hi
Stand up,खड़े हो जाइए,en,hi
Come here,यहाँ आइए,en,hi
Go away,चले जाइए,en,hi
Stop talking,बात करना बंद करो,en,hi
Be quiet,चुप रहो,en,hi
Listen carefully,ध्यान से सुनिए,en,hi
Repeat after me,मेरे बाद दोहराइए,en,hi
I am going to school,मैं स्कूल जा रहा हूँ,en,hi
She cooked the meal,उसने खाना बनाया,en,hi
He drove the car,उसने गाड़ी चलाई,en,hi
We played cricket,हमने क्रिकेट खेला,en,hi
They sang a song,उन्होंने एक गाना गाया,en,hi
The dog is barking,कुत्ता भौंक रहा है,en,hi
The cat sits on the mat,बिल्ली चटाई पर बैठी है,en,hi
The bird is flying,पक्षी उड़ रहा है,en,hi
The fish swims in the river,मछली नदी में तैरती है,en,hi
Flowers bloom in spring,वसंत में फूल खिलते हैं,en,hi
Snow falls in winter,सर्दियों में बर्फ गिरती है,en,hi
Summer is very hot,गर्मियों में बहुत गर्मी होती है,en,hi
The leaves fall in autumn,पतझड़ में पत्ते गिरते हैं,en,hi
I want to drink tea,मुझे चाय पीनी है,en,hi
Coffee is my favorite drink,कॉफी मेरा पसंदीदा पेय है,en,hi
Please give me some water,कृपया मुझे थोड़ा पानी दें,en,hi
I am very tired,मैं बहुत थका हुआ हूँ,en,hi
Let us sleep early,हम जल्दी सोएं,en,hi
Wake up it is morning,उठो सुबह हो गई है,en,hi
I had a good dream,मुझे एक अच्छा सपना आया,en,hi
My mother is very kind,मेरी माँ बहुत दयालु हैं,en,hi
My father works hard,मेरे पिता बहुत मेहनत करते हैं,en,hi
My sister is younger than me,मेरी बहन मुझसे छोटी है,en,hi
My brother is a student,मेरा भाई एक छात्र है,en,hi
I have two children,मेरे दो बच्चे हैं,en,hi
This is my house,यह मेरा घर है,en,hi
Our school is big,हमारा स्कूल बड़ा है,en,hi
The city is crowded,शहर में भीड़ है,en,hi
The village is peaceful,गाँव शांत है,en,hi
The road is very long,सड़क बहुत लंबी है,en,hi
The mountain is tall,पहाड़ ऊँचा है,en,hi
The ocean is deep,समुद्र गहरा है,en,hi
The forest is dense,जंगल घना है,en,hi
The sky is blue,आसमान नीला है,en,hi
The grass is green,घास हरी है,en,hi
The rose is red,गुलाब लाल है,en,hi
The moon is shining,चाँद चमक रहा है,en,hi
The stars are bright,तारे चमकीले हैं,en,hi
I saw a rainbow,मैंने इंद्रधनुष देखा,en,hi
It is very windy today,आज बहुत हवा है,en,hi
There is a storm coming,तूफान आने वाला है,en,hi
The river is flooded,नदी में बाढ़ आई है,en,hi
Please be careful,कृपया सावधान रहें,en,hi
This is dangerous,यह खतरनाक है,en,hi
I am safe,मैं सुरक्षित हूँ,en,hi
Call the police,पुलिस को बुलाओ,en,hi
